Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2002-11-03
Data Final: 2008-06-24
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);
2002-11-03;null;
2002-11-04;null;
2002-11-05;null;
2002-11-06;33;
2002-11-07;6,6;
2002-11-08;2;
2002-11-09;0;
2002-11-10;0;
2002-11-11;0;
2002-11-12;26,4;
2002-11-13;0;
2002-11-14;0;
2002-11-15;null;
2002-11-16;null;
2002-11-17;null;
2002-11-18;null;
2002-11-19;null;
2002-11-20;null;
2002-11-21;0;
2002-11-22;,4;
2002-11-23;,4;
2002-11-24;2;
2002-11-25;26,2;
2002-11-26;7,2;
2002-11-27;5,2;
2002-11-28;1,2;
2002-11-29;,2;
2002-11-30;0;
2002-12-01;0;
2002-12-02;0;
2002-12-03;0;
2002-12-04;,2;
2002-12-05;null;
2002-12-06;0;
2002-12-07;15,4;
2002-12-08;43,4;
2002-12-09;4,8;
2002-12-10;4,4;
2002-12-11;20,4;
2002-12-12;43;
2002-12-13;48,4;
2002-12-14;22,8;
2002-12-15;null;
2002-12-16;null;
2002-12-17;null;
2002-12-18;null;
2002-12-19;null;
2002-12-20;null;
2002-12-21;null;
2002-12-22;null;
2002-12-23;null;
2002-12-24;null;
2002-12-25;null;
2002-12-26;null;
2002-12-27;null;
2002-12-28;null;
2002-12-29;null;
2002-12-30;null;
2002-12-31;null;
2003-01-01;null;
2003-01-02;null;
2003-01-03;null;
2003-01-04;null;
2003-01-05;null;
2003-01-06;null;
2003-01-07;null;
2003-01-08;null;
2003-01-09;null;
2003-01-10;null;
2003-01-11;null;
2003-01-12;null;
2003-01-13;null;
2003-01-14;null;
2003-01-15;35,2;
2003-01-16;95,8;
2003-01-17;88,2;
2003-01-18;20;
2003-01-19;16,6;
2003-01-20;null;
2003-01-21;31,8;
2003-01-22;27;
2003-01-23;0;
2003-01-24;0;
2003-01-25;0;
2003-01-26;0;
2003-01-27;0;
2003-01-28;0;
2003-01-29;1,4;
2003-01-30;17,6;
2003-01-31;9,6;
2003-02-01;0;
2003-02-02;0;
2003-02-03;0;
2003-02-04;0;
2003-02-05;0;
2003-02-06;24;
2003-02-07;0;
2003-02-08;0;
2003-02-09;0;
2003-02-10;0;
2003-02-11;,8;
2003-02-12;0;
2003-02-13;0;
2003-02-14;0;
2003-02-15;0;
2003-02-16;31,2;
2003-02-17;0;
2003-02-18;26,4;
2003-02-19;29,2;
2003-02-20;14,6;
2003-02-21;7,4;
2003-02-22;0;
2003-02-23;0;
2003-02-24;0;
2003-02-25;0;
2003-02-26;0;
2003-02-27;3,2;
2003-02-28;null;
2003-03-01;null;
2003-03-02;0;
2003-03-03;0;
2003-03-04;0;
2003-03-05;1;
2003-03-06;0;
2003-03-07;0;
2003-03-08;0;
2003-03-09;11,4;
2003-03-10;,6;
2003-03-11;5,4;
