Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2017-10-18
Data Final: 2023-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);
2017-10-18;null;
2017-10-19;null;
2017-10-20;null;
2017-10-21;null;
2017-10-22;null;
2017-10-23;null;
2017-10-24;null;
2017-10-25;null;
2017-10-26;null;
2017-10-27;null;
2017-10-28;null;
2017-10-29;null;
2017-10-30;null;
2017-10-31;null;
2017-11-01;null;
2017-11-02;null;
2017-11-03;null;
2017-11-04;null;
2017-11-05;null;
2017-11-06;null;
2017-11-07;null;
2017-11-08;null;
2017-11-09;null;
2017-11-10;null;
2017-11-11;null;
2017-11-12;null;
2017-11-13;null;
2017-11-14;null;
2017-11-15;null;
2017-11-16;null;
2017-11-17;null;
2017-11-18;null;
2017-11-19;null;
2017-11-20;null;
2017-11-21;null;
2017-11-22;null;
2017-11-23;null;
2017-11-24;null;
2017-11-25;null;
2017-11-26;null;
2017-11-27;null;
2017-11-28;null;
2017-11-29;null;
2017-11-30;0;
2017-12-01;73,6;
2017-12-02;38,6;
2017-12-03;7,2;
2017-12-04;7,2;
2017-12-05;12,2;
2017-12-06;1,2;
2017-12-07;6,6;
2017-12-08;12,4;
2017-12-09;16,8;
2017-12-10;1,2;
2017-12-11;0;
2017-12-12;1,2;
2017-12-13;,2;
2017-12-14;0;
2017-12-15;0;
2017-12-16;12,4;
2017-12-17;2;
2017-12-18;,2;
2017-12-19;0;
2017-12-20;0;
2017-12-21;0;
2017-12-22;32,4;
2017-12-23;0;
2017-12-24;0;
2017-12-25;1,8;
2017-12-26;11,8;
2017-12-27;1,6;
2017-12-28;9,2;
2017-12-29;23,4;
2017-12-30;29;
2017-12-31;5,6;
2018-01-01;2,4;
2018-01-02;9;
2018-01-03;1,4;
2018-01-04;3,6;
2018-01-05;66,2;
2018-01-06;12;
2018-01-07;40,4;
2018-01-08;12,4;
2018-01-09;9,6;
2018-01-10;,2;
2018-01-11;0;
2018-01-12;0;
2018-01-13;,8;
2018-01-14;17,8;
2018-01-15;12,4;
2018-01-16;0;
2018-01-17;0;
2018-01-18;0;
2018-01-19;0;
2018-01-20;0;
2018-01-21;0;
2018-01-22;0;
2018-01-23;0;
2018-01-24;2,4;
2018-01-25;9;
2018-01-26;11,8;
2018-01-27;4,2;
2018-01-28;0;
2018-01-29;0;
2018-01-30;16,4;
2018-01-31;31;
2018-02-01;3,8;
2018-02-02;0;
2018-02-03;2;
2018-02-04;0;
2018-02-05;11;
2018-02-06;5;
2018-02-07;6,2;
2018-02-08;,2;
2018-02-09;0;
2018-02-10;0;
2018-02-11;0;
2018-02-12;0;
2018-02-13;0;
2018-02-14;0;
2018-02-15;0;
2018-02-16;0;
2018-02-17;0;
2018-02-18;0;
2018-02-19;,2;
2018-02-20;5,2;
2018-02-21;0;
2018-02-22;24;
2018-02-23;0;
2018-02-24;,2;
2018-02-25;16,6;
2018-02-26;8,8;
2018-02-27;7,8;
2018-02-28;3;
2018-03-01;19,2;
2018-03-02;0;
2018-03-03;58,8;
2018-03-04;,4;
2018-03-05;0;
2018-03-06;0;
2018-03-07;,4;
2018-03-08;,2;
2018-03-09;76,2;
2018-03-10;9,6;
2018-03-11;3,6;
2018-03-12;,2;
2018-03-13;0;
2018-03-14;0;
2018-03-15;0;
2018-03-16;0;
2018-03-17;10,8;
2018-03-18;3,8;
2018-03-19;0;
2018-03-20;0;
2018-03-21;0;
2018-03-22;0;
2018-03-23;0;
2018-03-24;3,2;
2018-03-25;,2;
2018-03-26;0;
2018-03-27;5,6;
2018-03-28;,2;
2018-03-29;0;
2018-03-30;0;
2018-03-31;0;
2018-04-01;0;
2018-04-02;0;
2018-04-03;0;
2018-04-04;13;
2018-04-05;3;
2018-04-06;2,6;
2018-04-07;,6;
2018-04-08;0;
2018-04-09;0;
2018-04-10;0;
2018-04-11;0;
2018-04-12;0;
2018-04-13;,4;
2018-04-14;0;
2018-04-15;0;
2018-04-16;17;
2018-04-17;,8;
2018-04-18;,2;
2018-04-19;0;
2018-04-20;0;
2018-04-21;0;
2018-04-22;0;
2018-04-23;0;
2018-04-24;0;
2018-04-25;0;
2018-04-26;0;
2018-04-27;0;
2018-04-28;0;
2018-04-29;0;
2018-04-30;0;
2018-05-01;0;
2018-05-02;0;
2018-05-03;0;
2018-05-04;0;
2018-05-05;0;
2018-05-06;0;
2018-05-07;0;
2018-05-08;0;
2018-05-09;0;
2018-05-10;0;
2018-05-11;0;
2018-05-12;0;
2018-05-13;0;
2018-05-14;0;
2018-05-15;3,2;
2018-05-16;0;
2018-05-17;1,8;
2018-05-18;25;
2018-05-19;0;
2018-05-20;9,6;
2018-05-21;0;
2018-05-22;0;
2018-05-23;0;
